iter	Passed	Remaining
0	56	56797
1	57	28572
2	57	19159
3	58	14459
4	58	11645
5	58	9762
6	59	8415
7	59	7397
8	60	6619
9	60	5988
10	60	5473
11	61	5045
12	61	4684
13	62	4372
14	62	4101
15	62	3869
16	63	3660
17	63	3475
18	64	3309
19	64	3159
20	64	3025
21	65	2900
22	65	2787
23	65	2683
24	66	2592
25	66	2504
26	67	2422
27	67	2348
28	68	2279
29	68	2213
30	68	2151
31	69	2092
32	69	2041
33	70	1989
34	70	1941
35	70	1895
36	71	1852
37	71	1812
38	71	1772
39	72	1735
40	72	1700
41	73	1667
42	73	1636
43	73	1605
44	74	1576
45	74	1547
46	75	1521
47	75	1495
48	75	1470
49	76	1446
50	76	1424
51	76	1402
52	77	1381
53	77	1361
54	78	1340
55	78	1321
56	78	1303
57	79	1286
58	79	1268
59	79	1251
60	80	1235
61	80	1221
62	81	1206
63	81	1192
64	81	1177
65	82	1163
66	82	1150
67	82	1133
68	83	1121
69	83	1108
70	83	1096
71	84	1084
72	84	1073
73	84	1062
74	85	1051
75	85	1041
76	86	1031
77	86	1021
78	86	1011
79	87	1002
80	87	992
81	87	983
82	88	974
83	88	966
84	88	956
85	89	949
86	89	940
87	89	932
88	90	924
89	90	916
90	91	909
91	91	902
92	91	895
93	92	888
94	92	882
95	92	875
96	93	868
97	93	862
98	94	856
99	94	849
100	94	844
101	94	836
102	95	830
103	95	826
104	96	820
105	96	814
106	97	810
107	97	805
108	97	800
109	98	795
110	98	790
111	99	785
112	99	780
113	99	775
114	100	771
115	100	766
116	100	761
117	101	757
118	101	751
119	101	747
120	102	743
121	102	738
122	102	733
123	103	729
124	103	725
125	104	721
126	104	717
127	104	712
128	104	708
129	105	704
130	105	701
131	106	697
132	106	693
133	106	690
134	107	686
135	107	683
136	108	681
137	108	677
138	109	675
139	109	672
140	109	669
141	110	665
142	110	662
143	110	659
144	111	656
145	111	653
146	112	650
147	112	646
148	112	643
149	113	640
150	113	637
151	113	634
152	114	632
153	114	629
154	114	626
155	115	624
156	115	621
157	116	618
158	116	616
159	116	613
160	117	610
161	117	608
162	118	605
163	118	604
164	119	602
165	119	599
166	119	598
167	120	595
168	120	592
169	120	590
170	121	588
171	121	585
172	122	583
173	122	581
174	122	578
175	123	576
176	123	574
177	123	572
178	124	571
179	124	569
180	125	566
181	125	563
182	125	561
183	126	559
184	126	557
185	127	555
186	127	553
187	127	552
188	128	549
189	128	548
190	128	546
191	129	544
192	129	542
193	130	540
194	130	538
195	130	536
196	131	534
197	131	533
198	132	531
199	132	529
200	132	527
201	133	525
202	133	523
203	133	522
204	134	520
205	134	518
206	134	517
207	135	515
208	135	513
209	136	511
210	136	510
211	136	508
212	137	506
213	137	505
214	138	503
215	138	502
216	138	501
217	139	499
218	139	498
219	140	497
220	140	496
221	141	494
222	141	493
223	142	492
224	142	491
225	142	489
226	143	488
227	143	486
228	144	485
229	144	484
230	144	482
231	145	481
232	145	479
233	146	478
234	146	477
235	147	476
236	147	475
237	148	473
238	148	472
239	148	470
240	149	469
241	149	468
242	150	467
243	150	465
244	150	464
245	151	463
246	151	462
247	152	461
248	152	459
249	152	458
250	153	457
251	153	456
252	154	454
253	154	453
254	154	452
255	155	451
256	155	450
257	156	448
258	156	448
259	157	449
260	159	451
261	159	450
262	160	449
263	160	448
264	161	447
265	161	445
266	161	444
267	162	443
268	162	441
269	162	440
270	163	439
271	163	438
272	164	437
273	164	436
274	165	435
275	165	434
276	165	432
277	166	431
278	166	430
279	167	429
280	167	429
281	168	428
282	168	426
283	168	426
284	169	425
285	170	424
286	170	423
287	171	423
288	171	422
289	172	421
290	172	421
291	173	420
292	174	419
293	174	418
294	174	417
295	175	416
296	175	415
297	176	414
298	176	413
299	176	412
300	177	411
301	177	410
302	178	410
303	178	409
304	179	408
305	179	407
306	180	406
307	180	406
308	181	405
309	181	404
310	182	404
311	182	402
312	183	401
313	183	400
314	183	399
315	184	398
316	184	397
317	185	397
318	185	395
319	186	395
320	186	394
321	186	393
322	187	392
323	187	391
324	188	390
325	188	389
326	189	389
327	189	388
328	189	387
329	190	386
330	190	385
331	191	384
332	191	384
333	192	383
334	192	382
335	192	381
336	193	380
337	193	379
338	194	378
339	194	377
340	194	376
341	195	375
342	195	374
343	196	374
344	196	373
345	197	372
346	197	372
347	198	371
348	198	370
349	199	370
350	199	369
351	200	368
352	200	367
353	201	366
354	201	366
355	202	365
356	202	364
357	202	363
358	203	363
359	204	363
360	204	362
361	205	361
362	205	360
363	206	360
364	206	359
365	206	358
366	207	357
367	207	356
368	207	355
369	208	355
370	208	354
371	209	353
372	209	352
373	210	351
374	210	350
375	210	350
376	211	349
377	211	348
378	212	348
379	212	347
380	213	346
381	213	345
382	213	344
383	214	343
384	214	343
385	215	342
386	215	341
387	215	340
388	216	339
389	216	339
390	217	338
391	217	337
392	218	336
393	218	336
394	218	335
395	219	334
396	219	333
397	220	332
398	220	332
399	220	331
400	221	330
401	221	329
402	222	329
403	222	328
404	222	327
405	223	327
406	224	326
407	224	326
408	225	325
409	225	324
410	225	323
411	226	322
412	226	322
413	227	321
414	227	320
415	228	320
416	228	319
417	228	318
418	229	317
419	229	317
420	230	316
421	230	315
422	230	315
423	231	314
424	231	313
425	232	313
426	233	312
427	233	312
428	233	311
429	234	310
430	234	309
431	235	308
432	235	308
433	235	307
434	236	306
435	236	306
436	236	305
437	237	304
438	237	303
439	238	302
440	238	302
441	238	301
442	239	300
443	239	300
444	240	299
445	240	298
446	240	297
447	241	297
448	241	296
449	242	295
450	242	295
451	242	294
452	243	293
453	243	293
454	244	292
455	245	292
456	245	291
457	246	291
458	246	290
459	246	289
460	247	288
461	247	288
462	248	287
463	248	286
464	248	286
465	249	285
466	249	284
467	249	284
468	250	283
469	250	282
470	251	282
471	251	281
472	252	280
473	252	280
474	252	279
475	253	278
476	253	278
477	253	277
478	254	276
479	254	276
480	255	275
481	255	274
482	256	274
483	256	273
484	256	272
485	257	272
486	257	271
487	258	270
488	258	270
489	259	269
490	259	268
491	259	268
492	260	267
493	260	267
494	261	266
495	261	265
496	261	265
497	262	264
498	262	263
499	263	263
500	263	262
501	264	262
502	264	261
503	265	261
504	265	260
505	266	259
506	266	259
507	266	258
508	267	257
509	267	257
510	268	256
511	268	255
512	268	255
513	269	254
514	269	254
515	270	253
516	270	252
517	270	252
518	271	251
519	271	250
520	272	250
521	272	249
522	273	249
523	273	248
524	274	248
525	274	247
526	275	247
527	275	246
528	276	245
529	276	245
530	276	244
531	277	243
532	277	243
533	278	242
534	278	242
535	279	241
536	279	240
537	279	240
538	280	239
539	280	239
540	281	238
541	281	237
542	281	237
543	282	236
544	282	235
545	282	235
546	283	234
547	283	234
548	284	233
549	284	232
550	284	232
551	285	231
552	285	230
553	286	230
554	286	229
555	287	229
556	287	228
557	287	228
558	288	227
559	288	226
560	289	226
561	289	225
562	290	225
563	290	224
564	291	224
565	291	223
566	291	222
567	292	222
568	292	221
569	293	221
570	293	220
571	293	219
572	294	219
573	294	218
574	295	218
575	295	217
576	296	217
577	296	216
578	297	216
579	297	215
580	297	214
581	298	214
582	298	213
583	299	213
584	299	212
585	299	211
586	300	211
587	300	210
588	301	210
589	301	209
590	301	208
591	302	208
592	302	207
593	303	207
594	303	206
595	304	206
596	304	205
597	304	204
598	305	204
599	305	203
600	305	203
601	306	202
602	306	201
603	306	201
604	307	200
605	307	200
606	308	199
607	308	198
608	309	198
609	309	197
610	309	197
611	310	196
612	310	196
613	310	195
614	311	194
615	311	194
616	312	193
617	312	193
618	313	192
619	313	192
620	314	191
621	314	191
622	314	190
623	315	190
624	315	189
625	316	188
626	316	188
627	316	187
628	317	187
629	317	186
630	318	185
631	318	185
632	319	184
633	319	184
634	319	183
635	320	183
636	320	182
637	321	182
638	321	181
639	321	181
640	322	180
641	322	180
642	323	179
643	323	178
644	323	178
645	324	177
646	324	177
647	325	176
648	325	175
649	325	175
650	326	174
651	326	174
652	327	173
653	327	173
654	328	172
655	328	172
656	328	171
657	329	171
658	329	170
659	329	169
660	330	169
661	330	168
662	330	168
663	331	167
664	331	167
665	332	166
666	332	166
667	332	165
668	333	164
669	333	164
670	334	163
671	334	163
672	335	162
673	335	162
674	335	161
675	336	161
676	336	160
677	337	160
678	337	159
679	337	158
680	338	158
681	338	157
682	338	157
683	339	156
684	339	156
685	340	155
686	340	155
687	340	154
688	341	154
689	341	153
690	342	153
691	342	152
692	342	151
693	343	151
694	343	150
695	343	150
696	344	149
697	344	149
698	345	148
699	345	148
700	345	147
701	346	146
702	346	146
703	346	145
704	347	145
705	347	144
706	347	144
707	348	143
708	348	143
709	348	142
710	349	142
711	349	141
712	350	140
713	350	140
714	350	139
715	351	139
716	351	138
717	352	138
718	352	137
719	353	137
720	353	136
721	353	136
722	354	135
723	354	135
724	354	134
725	355	134
726	355	133
727	356	133
728	356	132
729	356	131
730	357	131
731	357	130
732	357	130
733	358	129
734	358	129
735	359	128
736	359	128
737	359	127
738	360	127
739	360	126
740	360	126
741	361	125
742	361	125
743	361	124
744	362	124
745	362	123
746	363	122
747	363	122
748	363	121
749	364	121
750	364	120
751	365	120
752	365	119
753	365	119
754	366	118
755	366	118
756	366	117
757	367	117
758	367	116
759	368	116
760	368	115
761	368	115
762	369	114
763	369	114
764	370	113
765	370	113
766	370	112
767	371	112
768	371	111
769	371	111
770	372	110
771	372	110
772	372	109
773	373	109
774	373	108
775	374	107
776	374	107
777	374	106
778	375	106
779	375	105
780	376	105
781	376	104
782	376	104
783	377	103
784	377	103
785	378	102
786	378	102
787	378	101
788	379	101
789	379	100
790	379	100
791	380	99
792	380	99
793	381	98
794	381	98
795	381	97
796	382	97
797	382	96
798	382	96
799	383	95
800	383	95
801	384	94
802	384	94
803	384	93
804	385	93
805	385	92
806	386	92
807	386	91
808	386	91
809	387	90
810	387	90
811	387	89
812	388	89
813	388	88
814	388	88
815	389	87
816	389	87
817	389	86
818	390	86
819	390	85
820	390	85
821	391	84
822	391	84
823	391	83
824	392	83
825	392	82
826	393	82
827	393	81
828	393	81
829	394	80
830	394	80
831	394	79
832	395	79
833	395	78
834	396	78
835	396	77
836	396	77
837	397	76
838	397	76
839	398	75
840	398	75
841	398	74
842	399	74
843	399	73
844	400	73
845	400	72
846	400	72
847	401	71
848	401	71
849	401	70
850	402	70
851	402	69
852	403	69
853	403	68
854	403	68
855	404	67
856	404	67
857	404	67
858	405	66
859	405	66
860	406	65
861	406	65
862	406	64
863	407	64
864	407	63
865	408	63
866	408	62
867	408	62
868	409	61
869	409	61
870	409	60
871	410	60
872	410	59
873	410	59
874	411	58
875	411	58
876	412	57
877	412	57
878	412	56
879	413	56
880	413	55
881	413	55
882	414	54
883	414	54
884	415	53
885	415	53
886	415	52
887	416	52
888	416	51
889	416	51
890	417	51
891	417	50
892	417	50
893	418	49
894	418	49
895	418	48
896	419	48
897	419	47
898	420	47
899	420	46
900	420	46
901	421	45
902	421	45
903	422	44
904	422	44
905	422	43
906	423	43
907	423	42
908	423	42
909	424	41
910	424	41
911	424	41
912	425	40
913	425	40
914	426	39
915	426	39
916	426	38
917	427	38
918	427	37
919	427	37
920	428	36
921	428	36
922	429	35
923	429	35
924	429	34
925	430	34
926	430	33
927	430	33
928	431	32
929	431	32
930	431	32
931	432	31
932	432	31
933	433	30
934	433	30
935	433	29
936	433	29
937	434	28
938	434	28
939	435	27
940	435	27
941	435	26
942	436	26
943	436	25
944	436	25
945	437	24
946	437	24
947	438	24
948	438	23
949	438	23
950	439	22
951	439	22
952	439	21
953	440	21
954	440	20
955	441	20
956	441	19
957	441	19
958	442	18
959	442	18
960	442	17
961	443	17
962	443	17
963	443	16
964	444	16
965	444	15
966	445	15
967	445	14
968	445	14
969	446	13
970	446	13
971	447	12
972	447	12
973	447	11
974	448	11
975	448	11
976	448	10
977	449	10
978	449	9
979	449	9
980	450	8
981	450	8
982	451	7
983	451	7
984	451	6
985	452	6
986	452	5
987	452	5
988	453	5
989	453	4
990	454	4
991	454	3
992	454	3
993	455	2
994	455	2
995	455	1
996	456	1
997	456	0
998	456	0
999	457	0
