iter	Passed	Remaining
0	58	58004
1	58	29152
2	58	19522
3	59	14698
4	59	11826
5	59	9924
6	60	8561
7	60	7526
8	61	6722
9	61	6081
10	61	5559
11	62	5127
12	62	4753
13	62	4433
14	63	4157
15	63	3915
16	63	3699
17	64	3505
18	64	3331
19	64	3176
20	65	3035
21	65	2908
22	65	2791
23	66	2688
24	66	2591
25	66	2499
26	67	2415
27	67	2336
28	67	2263
29	67	2198
30	68	2133
31	68	2072
32	68	2016
33	69	1962
34	69	1911
35	69	1864
36	70	1824
37	70	1784
38	70	1743
39	71	1704
40	71	1668
41	71	1637
42	72	1603
43	72	1575
44	72	1546
45	73	1517
46	73	1490
47	73	1466
48	74	1440
49	74	1416
50	75	1396
51	75	1375
52	75	1353
53	75	1331
54	76	1309
55	76	1289
56	76	1269
57	77	1251
58	77	1232
59	77	1215
60	78	1201
61	78	1185
62	78	1168
63	78	1153
64	79	1138
65	79	1124
66	79	1110
67	79	1096
68	80	1082
69	80	1068
70	80	1055
71	80	1042
72	81	1030
73	81	1020
74	81	1011
75	82	1004
76	83	996
77	83	985
78	83	975
79	83	965
80	84	956
81	84	948
82	84	938
83	85	930
84	85	922
85	86	915
86	86	910
87	87	906
88	87	898
89	88	892
90	88	886
91	89	880
92	89	873
93	89	866
94	90	859
95	90	854
96	91	848
97	91	842
98	91	835
99	92	828
100	92	821
101	92	815
102	92	808
103	93	802
104	93	796
105	93	790
106	93	783
107	94	778
108	94	773
109	94	767
110	95	761
111	95	756
112	95	751
113	96	746
114	96	741
115	96	735
116	96	730
117	97	726
118	97	722
119	97	717
120	98	712
121	98	707
122	98	702
123	98	698
124	99	694
125	99	689
126	99	684
127	99	680
128	100	676
129	100	671
130	100	668
131	101	664
132	101	661
133	101	658
134	102	655
135	102	651
136	102	647
137	103	644
138	103	640
139	103	636
140	103	632
141	103	628
142	104	625
143	104	623
144	105	620
145	105	617
146	106	615
147	106	611
148	106	608
149	106	605
150	107	602
151	107	598
152	107	595
153	107	592
154	108	589
155	108	586
156	108	583
157	108	580
158	109	578
159	109	575
160	109	572
161	110	569
162	110	566
163	110	563
164	110	561
165	111	558
166	111	556
167	111	553
168	111	550
169	112	547
170	112	545
171	112	542
172	112	539
173	113	537
174	113	534
175	113	532
176	114	530
177	114	528
178	114	525
179	114	523
180	115	521
181	115	519
182	115	517
183	116	514
184	116	512
185	116	511
186	117	509
187	117	507
188	117	505
189	117	502
190	118	500
191	118	498
192	118	497
193	119	495
194	119	492
195	119	491
196	120	490
197	120	488
198	121	487
199	121	485
200	121	484
201	122	482
202	122	480
203	122	478
204	122	476
205	123	474
206	123	472
207	123	471
208	124	469
209	124	467
210	124	465
211	124	463
212	125	462
213	125	460
214	125	458
215	125	456
216	126	455
217	126	453
218	126	451
219	126	449
220	127	447
221	127	445
222	127	444
223	127	442
224	128	441
225	128	439
226	128	437
227	128	436
228	129	434
229	129	432
230	129	431
231	130	430
232	130	429
233	130	428
234	131	426
235	131	425
236	131	424
237	132	422
238	132	421
239	132	419
240	132	418
241	133	416
242	133	415
243	133	413
244	133	412
245	134	411
246	134	409
247	134	408
248	135	407
249	135	405
250	135	404
251	136	403
252	136	402
253	136	401
254	136	399
255	137	398
256	137	397
257	137	396
258	137	394
259	138	393
260	138	392
261	138	391
262	139	389
263	139	388
264	139	387
265	139	385
266	140	384
267	140	383
268	140	382
269	140	380
270	141	379
271	141	378
272	141	377
273	141	375
274	142	374
275	142	373
276	142	372
277	142	371
278	143	370
279	143	368
280	143	367
281	143	366
282	144	365
283	144	364
284	144	363
285	144	361
286	145	361
287	145	360
288	145	359
289	146	358
290	146	357
291	146	355
292	147	354
293	147	354
294	147	352
295	147	351
296	148	350
297	148	349
298	148	348
299	148	347
300	149	346
301	149	345
302	149	344
303	150	343
304	150	342
305	150	341
306	151	340
307	151	340
308	151	339
309	151	337
310	152	336
311	152	335
312	152	334
313	152	333
314	153	332
315	153	331
316	153	330
317	153	329
318	154	328
319	154	327
320	154	327
321	154	326
322	155	325
323	155	324
324	155	323
325	155	322
326	156	321
327	156	320
328	156	319
329	156	318
330	157	317
331	157	316
332	157	315
333	157	314
334	158	313
335	158	312
336	158	311
337	158	310
338	158	310
339	159	309
340	159	308
341	159	307
342	159	306
343	160	305
344	160	304
345	160	303
346	160	302
347	161	301
348	161	300
349	161	299
350	161	299
351	162	298
352	162	297
353	162	296
354	162	295
355	163	294
356	163	294
357	163	293
358	163	292
359	164	291
360	164	290
361	164	290
362	164	289
363	165	288
364	165	287
365	165	287
366	166	286
367	166	285
368	166	284
369	166	284
370	167	283
371	167	282
372	167	282
373	168	281
374	168	281
375	168	280
376	169	279
377	169	278
378	169	278
379	169	277
380	170	276
381	170	275
382	170	275
383	171	274
384	171	273
385	171	272
386	171	272
387	171	271
388	172	270
389	172	269
390	172	269
391	173	268
392	173	267
393	173	267
394	174	266
395	174	265
396	174	265
397	174	264
398	175	263
399	175	262
400	175	262
401	175	261
402	176	261
403	176	260
404	176	259
405	177	258
406	177	258
407	177	257
408	177	256
409	178	256
410	178	255
411	178	255
412	179	254
413	179	253
414	179	253
415	179	252
416	179	251
417	180	250
418	180	250
419	180	249
420	181	249
421	181	248
422	181	247
423	182	247
424	182	246
425	182	245
426	182	245
427	183	244
428	183	243
429	183	243
430	183	242
431	184	242
432	184	241
433	184	240
434	184	240
435	185	239
436	185	238
437	185	238
438	185	237
439	186	236
440	186	236
441	186	235
442	186	234
443	187	234
444	187	233
445	187	233
446	187	232
447	188	231
448	188	231
449	188	230
450	189	230
451	189	229
452	189	228
453	189	228
454	189	227
455	190	226
456	190	226
457	190	225
458	191	225
459	191	224
460	191	224
461	191	223
462	192	222
463	192	222
464	192	221
465	193	221
466	193	220
467	193	220
468	193	219
469	194	218
470	194	218
471	194	217
472	194	217
473	195	216
474	195	215
475	195	215
476	195	214
477	196	214
478	196	213
479	196	213
480	197	212
481	197	212
482	197	211
483	197	211
484	198	210
485	198	209
486	198	209
487	199	208
488	199	208
489	199	207
490	199	207
491	200	206
492	200	205
493	200	205
494	200	204
495	201	204
496	201	203
497	201	203
498	201	202
499	201	201
500	202	201
501	202	200
502	202	200
503	202	199
504	203	199
505	203	198
506	203	197
507	203	197
508	204	196
509	204	196
